Entity,Code,Year,"Average years of schooling gender ratio, 15-64 year olds"
Afghanistan,AFG,2015,0.5623003
Afghanistan,AFG,2020,0.7125926
Africa,,2015,0.8663694
Africa,,2020,0.8989947
Albania,ALB,2015,0.96847296
Albania,ALB,2020,0.96666664
Algeria,DZA,2015,0.9661898
Algeria,DZA,2020,0.99390984
Argentina,ARG,2015,1.0393199
Argentina,ARG,2020,1.0371901
Armenia,ARM,2015,1.0222436
Armenia,ARM,2020,1.0298077
Asia,,2015,0.87975496
Asia,,2020,0.9296549
Australia,AUS,2015,1.0140296
Australia,AUS,2020,1.0155884
Austria,AUT,2015,0.9441816
Austria,AUT,2020,0.9668875
Bahrain,BHR,2015,1.0559895
Bahrain,BHR,2020,1.0369914
Bangladesh,BGD,2015,1.0975232
Bangladesh,BGD,2020,1.1921331
Barbados,BRB,2015,1.0906076
Barbados,BRB,2020,1.0975082
Belgium,BEL,2015,1.0168738
Belgium,BEL,2020,1.0280702
Belize,BLZ,2015,1.0066539
Belize,BLZ,2020,1.0084349
Benin,BEN,2015,0.6900311
Benin,BEN,2020,0.7527933
Bolivia,BOL,2015,0.90286976
Bolivia,BOL,2020,0.92667377
Botswana,BWA,2015,0.98934114
Botswana,BWA,2020,0.995283
Brazil,BRA,2015,1.0816326
Brazil,BRA,2020,1.083442
Brunei,BRN,2015,0.98904705
Brunei,BRN,2020,0.99355525
Bulgaria,BGR,2015,1.0226843
Bulgaria,BGR,2020,1.0149953
Burundi,BDI,2015,0.802935
Burundi,BDI,2020,0.86556166
Cambodia,KHM,2015,0.7715232
Cambodia,KHM,2020,0.8062015
Cameroon,CMR,2015,0.86393654
Cameroon,CMR,2020,0.8884615
Canada,CAN,2015,1.0340999
Canada,CAN,2020,1.0402526
Central African Republic,CAF,2015,0.582397
Central African Republic,CAF,2020,0.63222414
Chile,CHL,2015,1.0173078
Chile,CHL,2020,1.0302457
China,CHN,2015,0.9318181
China,CHN,2020,0.9458288
Colombia,COL,2015,1.0206825
Colombia,COL,2020,1.0288844
Congo,COG,2015,0.851216
Congo,COG,2020,0.86703604
Costa Rica,CRI,2015,1.0419091
Costa Rica,CRI,2020,1.0357143
Cote d'Ivoire,CIV,2015,0.6796875
Cote d'Ivoire,CIV,2020,0.7033898
Croatia,HRV,2015,0.99915254
Croatia,HRV,2020,1.0125418
Cuba,CUB,2015,1.0036036
Cuba,CUB,2020,1.0034512
Cyprus,CYP,2015,1.0225563
Cyprus,CYP,2020,1.042728
Czechia,CZE,2015,0.9915255
Czechia,CZE,2020,0.9976834
Democratic Republic of Congo,COD,2015,0.63377607
Democratic Republic of Congo,COD,2020,0.69739133
Denmark,DNK,2015,1.0112069
Denmark,DNK,2020,1.0103182
Dominican Republic,DOM,2015,1.0976514
Dominican Republic,DOM,2020,1.1108519
Ecuador,ECU,2015,1.0165288
Ecuador,ECU,2020,1.0245537
Egypt,EGY,2015,0.87546706
Egypt,EGY,2020,0.9071429
El Salvador,SLV,2015,0.98191214
El Salvador,SLV,2020,0.997534
Estonia,EST,2015,1.0524563
Estonia,EST,2020,1.0449625
Eswatini,SWZ,2015,1.0424778
Eswatini,SWZ,2020,1.0557325
Europe,,2015,1.0013992
Europe,,2020,1.0072972
Fiji,FJI,2015,1.0218779
Fiji,FJI,2020,1.0238094
Finland,FIN,2015,1.0515947
Finland,FIN,2020,1.0539033
